
metadata
ID	name	desc	time	keywords	minlat	minlon	maxlat	maxlon	
1			2012-07-31T16:17:02Z		-17.666544858366251	31.1055345274508	-17.459403974935412	31.264273775741458	

author
ID	name	email	

copyright
year	license	author	

link
metadataID	authorID	wptID	rteptID	trkptID	rteID	trkID	text	type	href	
1							"Garmin International"		http://www.garmin.com	

rte
ID	name	cmt	desc	src	number	type	

trk
ID	name	cmt	desc	src	number	type	
1	"Alfie’s Ride"						
2	"Baboon Valley"						
3	"Cross Kopjie"						
4	"Gulliver Dam"						
5	"Lone Tree"						
6	"Ngomakurira"						
7	"Ngomakurira View to Killarney Dam"						

trkseg
ID	trkID	
104	1	-17.623462630435824	31.172951851040125	1520.9400000000001	2012-07-18T13:18:35Z																				0	
105	1	-17.623548125848174	31.17299267090857	1521.4200000000001	2012-07-18T13:19:00Z																				0	
106	1	-17.62368374504149	31.17308160290122	1520.9400000000001	2012-07-18T13:19:04Z																				0	
107	1	-17.623861692845821	31.173131642863154	1520.46	2012-07-18T13:19:09Z																				0	
108	1	-17.623939896002412	31.17329073138535	1520.9400000000001	2012-07-18T13:19:15Z																				0	
109	1	-17.624188167974353	31.173546127974987	1520.9400000000001	2012-07-18T13:19:25Z																				0	
110	1	-17.62436049990356	31.173753496259451	1521.4200000000001	2012-07-18T13:19:32Z																				0	
111	1	-17.624549176543951	31.174198491498828	1521.9000000000001	2012-07-18T13:19:44Z																				0	
112	1	-17.624706840142608	31.174474759027362	1520.9400000000001	2012-07-18T13:19:52Z																				0	
113	1	-17.624756712466478	31.174544161185622	1520.46	2012-07-18T13:19:54Z																				0	
114	1	-17.62510665692389	31.175124440342188	1519.98	2012-07-18T13:20:11Z																				0	
115	1	-17.625420559197664	31.175536494702101	1519.98	2012-07-18T13:20:24Z																				0	
116	1	-17.625545030459762	31.175766242668033	1519.5	2012-07-18T13:20:30Z																				0	
117	1	-17.625775448977947	31.176019376143813	1520.46	2012-07-18T13:20:38Z																				0	
118	1	-17.626140648499131	31.176422713324428	1519.98	2012-07-18T13:20:51Z																				0	
119	1	-17.626247936859727	31.176554895937443	1520.46	2012-07-18T13:20:55Z																				0	
120	1	-17.626326223835349	31.176799815148115	1519.5	2012-07-18T13:21:01Z																				0	
121	1	-17.626441223546863	31.176812807098031	1519.98	2012-07-18T13:21:05Z																				0	
122	1	-17.626627888530493	31.176857147365808	1521.4200000000001	2012-07-18T13:21:11Z																				0	
123	1	-17.627055114135146	31.176903750747442	1524.79	2012-07-18T13:21:25Z																				0	
124	1	-17.627149326726794	31.17694322951138	1525.75	2012-07-18T13:21:28Z																				0	
125	1	-17.627380583435297	31.177161745727062	1528.1500000000001	2012-07-18T13:21:40Z																				0	
126	1	-17.627528356388211	31.177365174517035	1531.52	2012-07-18T13:21:52Z																				0	
127	1	-17.627686187624931	31.177539601922035	1535.3599999999999	2012-07-18T13:22:04Z																				0	
